id,y
M1_D00000_00_00,13.4848051071167
M1_D00000_00_30,13.710199117660522
M1_D00000_01_00,13.98720645904541
M1_D00000_01_30,14.344064116477966
M1_D00000_02_00,14.583712935447693
M1_D00000_02_30,14.81695032119751
M1_D00000_03_00,15.021300911903381
M1_D00000_03_30,15.035011172294617
M1_D00000_04_00,14.678916931152344
M1_D00000_04_30,14.45090639591217
M1_D00000_05_00,14.471724152565002
M1_D00000_05_30,14.761959433555603
M1_D00000_06_00,14.91489064693451
M1_D00000_06_30,14.891947031021118
M1_D00000_07_00,13.867643594741821
M1_D00000_07_30,13.758451342582703
M1_D00000_08_00,13.965040922164917
M1_D00000_08_30,14.015343070030212
M1_D00000_09_00,14.034894466400146
M1_D00000_09_30,14.634692430496216
M1_D00000_10_00,14.709769129753113
M1_D00000_10_30,14.782750368118286
M1_D00000_11_00,14.715885877609253
M1_D00000_11_30,14.259307146072388
M1_D00000_12_00,14.475120186805725
M1_D00000_12_30,14.129761219024658
M1_D00000_13_00,13.647627830505371
M1_D00000_13_30,13.904408812522888
M1_D00000_14_00,14.142456769943237
M1_D00000_14_30,14.310424566268921
M1_D00000_15_00,14.533183455467224
M1_D00000_15_30,14.776134729385376
M1_D00000_16_00,14.85897433757782
M1_D00000_16_30,14.724163889884949
M1_D00000_17_00,14.21522831916809
M1_D00000_17_30,14.161624312400818
M1_D00000_18_00,14.45278286933899
M1_D00000_18_30,14.661340713500977
M1_D00000_19_00,14.955273509025574
M1_D00000_19_30,14.896551966667175
M1_D00000_20_00,14.557650446891785
M1_D00000_20_30,14.075523018836975
M1_D00000_21_00,13.326225876808167
M1_D00000_21_30,13.392550826072693
M1_D00000_22_00,14.085500240325928
M1_D00000_22_30,15.294976592063904
M1_D00000_23_00,15.371819972991943
M1_D00000_23_30,14.741823315620422
M1_D00005_00_00,5.7827030420303345
M1_D00005_00_30,5.66775918006897
M1_D00005_01_00,5.673360288143158
M1_D00005_01_30,5.694205403327942
M1_D00005_02_00,5.52966433763504
M1_D00005_02_30,5.306100845336914
M1_D00005_03_00,5.514573782682419
M1_D00005_03_30,5.942339211702347
M1_D00005_04_00,6.088851451873779
M1_D00005_04_30,6.062067687511444
M1_D00005_05_00,6.263991177082062
M1_D00005_05_30,6.021969497203827
M1_D00005_06_00,5.769387662410736
M1_D00005_06_30,5.507463335990906
M1_D00005_07_00,5.165317982435226
M1_D00005_07_30,5.118803799152374
M1_D00005_08_00,5.5159008502960205
M1_D00005_08_30,6.168073952198029
M1_D00005_09_00,6.4568387269973755
M1_D00005_09_30,6.505989611148834
M1_D00005_10_00,6.334670603275299
M1_D00005_10_30,5.843635618686676
M1_D00005_11_00,5.443220496177673
M1_D00005_11_30,4.848650634288788
M1_D00005_12_00,5.257719665765762
M1_D00005_12_30,5.640190124511719
M1_D00005_13_00,5.381634891033173
M1_D00005_13_30,5.440230071544647
M1_D00005_14_00,5.650243937969208
M1_D00005_14_30,5.741519510746002
M1_D00005_15_00,5.952177882194519
M1_D00005_15_30,5.939370572566986
M1_D00005_16_00,5.88806289434433
M1_D00005_16_30,5.827220559120178
M1_D00005_17_00,5.876806020736694
M1_D00005_17_30,6.083996772766113
M1_D00005_18_00,5.705276608467102
M1_D00005_18_30,5.7623642683029175
M1_D00005_19_00,5.68715563416481
M1_D00005_19_30,5.448609352111816
M1_D00005_20_00,5.904932916164398
M1_D00005_20_30,5.995438933372498
