user_id,y
M1_D00528_14_00,16.37453556060791
M1_D00273_03_30,16.482517957687378
M1_D00174_18_30,16.49020266532898
M2_D00066_23_00,16.54315185546875
M1_D00460_15_30,16.426187753677368
M2_D00158_01_30,16.353095293045044
M1_D00541_01_30,16.462064504623413
M2_D00540_12_00,16.454756021499634
M1_D00095_03_00,16.5351722240448
M2_D00596_15_00,16.45403742790222
M2_D00001_00_00,18.050413608551025
M2_D00158_12_30,16.40509581565857
M1_D00125_22_30,16.615554332733154
M2_D00158_12_00,16.407702922821045
M2_D00026_02_30,19.353763341903687
M1_D00707_19_00,17.865816831588745
M2_D00187_07_30,19.867835998535156
M2_D00405_22_00,17.946284770965576
M2_D00373_18_00,17.800130128860474
M1_D00600_07_30,16.337953567504883
M2_D00373_07_00,17.803000926971436
M1_D00465_21_00,16.453747272491455
M1_D00660_01_30,19.293906688690186
M1_D00083_03_30,16.41753339767456
M1_D00670_14_00,16.699892044067383
M1_D00085_09_30,16.533533573150635
M1_D00709_05_00,16.555346727371216
M1_D00146_03_00,16.451254844665527
M1_D00214_15_00,16.358641624450684
M1_D00484_09_00,16.557482957839966
M2_D00053_22_00,17.809085369110107
M1_D00544_17_30,16.364036798477173
M1_D00653_15_00,16.480177402496338
M1_D00247_17_00,16.513534784317017
M2_D00680_11_30,16.370099544525146
M1_D00020_06_30,16.752071619033813
M1_D00382_04_00,16.478012800216675
M2_D00486_06_00,16.437412977218628
M2_D00606_22_00,16.436289310455322
M1_D00034_03_00,16.54107427597046
M1_D00419_15_30,16.51522469520569
M1_D00428_17_00,16.49302864074707
M1_D00564_10_00,16.371094465255737
M1_D00460_19_00,16.72664785385132
M1_D00542_14_00,16.497008562088013
M2_D00508_09_00,19.35055923461914
M1_D00090_17_00,16.493008375167847
M1_D00034_14_00,16.48198366165161
M1_D00723_19_00,16.48490047454834
M1_D00404_19_00,18.167556047439575
M1_D00095_13_00,16.65821409225464
M2_D00103_00_30,17.86893367767334
M1_D00358_12_00,16.3800528049469
M1_D00404_00_30,16.50316596031189
M2_D00275_05_30,19.295372247695923
M2_D00387_20_30,16.454617023468018
M2_D00404_22_00,18.382859468460083
M1_D00660_09_00,19.341476917266846
M1_D00698_13_00,16.44861340522766
M1_D00340_01_00,16.474947214126587
M1_D00135_10_30,16.770772218704224
M1_D00719_00_00,16.50501561164856
M1_D00501_08_30,16.407183408737183
M2_D00426_13_00,19.29556894302368
M2_D00465_20_00,17.89802598953247
M1_D00638_03_30,16.348442316055298
M1_D00531_10_00,16.455930709838867
M2_D00073_17_00,16.42478609085083
M1_D00367_03_30,16.43075656890869
M2_D00628_11_30,17.94423484802246
